id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,13,1,1,0.00298507462687,0.00263157894737,0.0,0,0,1920,6022.171875,"rgb(0,0,0)","rgba(0,0,0,0)",5722,5918,41658,1,/html,Skip to content 墙外楼 ...十月 2009年九月,0
30,0,body,12,1,1,0.00298507462687,0.0815789473684,0.0,0,67.1875,1920,5887.796875,"rgb(68,68,68)","rgb(227,229,231)",5722,5918,35432,1,/html/body,Skip to content 墙外楼 ...十月 2009年九月,0
31,30,div,11,1,2,0.00597014925373,0.0842105263158,0.0,0,67.1875,1920,5887.796875,"rgb(68,68,68)","rgba(0,0,0,0)",5119,5230,23657,1,/html/body/div[1],Skip to content 墙外楼 ...始打破刚性兑付？ →,0
32,31,header,6,1,4,0.0119402985075,0.0868421052632,0.225,432,67.1875,1056,182.921875,"rgb(68,68,68)","rgba(0,0,0,0)",24,28,9874,1,/html/body/div[1]/header[1],Skip to content 墙外楼 网络热门话题追踪,0
33,32,div,1,1,6,0.0179104477612,0.0894736842105,0.225,432,67.1875,119,27,"rgb(68,68,68)","rgba(0,0,0,0)",13,15,110,1,/html/body/div[1]/header[1]/div[1],Skip to content,0
34,33,a,0,1,6,0.0179104477612,0.0921052631579,0.225,432,70.1875,119,20,"rgb(0,155,205)","rgba(0,0,0,0)",13,15,62,1,/html/body/div[1]/header[1]/div[1]/a,Skip to content,0
35,32,div,3,1,8,0.0238805970149,0.0947368421053,0.908959960937,1745.203125,54,30.796875,30.796875,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,601,1,/html/body/div[1]/header[1]/div[2],,0
36,35,svg,2,1,9,0.0268656716418,0.0973684210526,0.908959960937,1745.203125,54,30.796875,30.796875,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,536,1,/html/body/div[1]/header[1]/div[2]/svg,,0
37,36,title,0,1,10,0.0298507462687,0.1,0.0,0,0,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,19,1,/html/body/div[1]/header[1]/div[2]/svg/title,,0
38,36,g,1,1,11,0.0328358208955,0.102631578947,0.908959960937,1745.203125,56.56640625,30.796875,25.6640625,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,286,1,/html/body/div[1]/header[1]/div[2]/svg/g,,0
39,38,path,0,1,12,0.0358208955224,0.105263157895,0.908959960937,1745.203125,77.09765625,30.796875,5.1328125,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,82,1,/html/body/div[1]/header[1]/div[2]/svg/g/path[1],,0
40,38,path,0,1,13,0.0388059701493,0.107894736842,0.908959960937,1745.203125,66.83203125,30.796875,5.1328125,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,78,1,/html/body/div[1]/header[1]/div[2]/svg/g/path[2],,0
41,38,path,0,1,14,0.0417910447761,0.110526315789,0.908959960937,1745.203125,56.56640625,30.796875,5.1328125,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,72,1,/html/body/div[1]/header[1]/div[2]/svg/g/path[3],,0
42,36,image,0,1,16,0.0477611940299,0.113157894737,0.908959960937,1745.203125,56.56640625,0,0,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,120,1,/html/body/div[1]/header[1]/div[2]/svg/image,,0
43,32,div,2,1,20,0.0597014925373,0.115789473684,0.225,432,67.1875,1056,94.265625,"rgb(68,68,68)","rgba(0,0,0,0)",11,12,217,1,/html/body/div[1]/header[1]/div[3],墙外楼 网络热门话题追踪,0
44,43,h1,1,1,24,0.0716417910448,0.118421052632,0.225,432,67.1875,1056,62,"rgb(68,68,68)","rgba(0,0,0,0)",3,3,139,1,/html/body/div[1]/header[1]/div[3]/h1,墙外楼,0
45,44,a,0,1,25,0.0746268656716,0.121052631579,0.4515625,867,63.1875,186,69,"rgb(68,68,68)","rgba(0,0,0,0)",3,3,109,1,/html/body/div[1]/header[1]/div[3]/h1/a,墙外楼,0
46,43,h2,0,1,28,0.0835820895522,0.123684210526,0.225,432,134.453125,1056,27,"rgb(68,68,68)","rgba(0,0,0,0)",8,8,42,1,/html/body/div[1]/header[1]/div[3]/h2,网络热门话题追踪,0
47,32,div,5,1,33,0.0985074626866,0.126315789474,0.225,432,177.28125,1056,56,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,8876,1,/html/body/div[1]/header[1]/div[4],,0
48,47,ul,4,1,34,0.101492537313,0.128947368421,0.225,432,177.28125,1056,56,"rgb(68,68,68)","rgba(0,0,0,0)",0,0,8843,1,/html/body/div[1]/header[1]/div[4]/ul,,0
49,48,a,3,1,35,0.10447761194,0.131578947368,0.443111165365,850.7734375,209.28125,74.484375,20,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,3058,1,/html/body/div[1]/header[1]/div[4]/ul/a[1],,0
50,49,svg,2,1,36,0.107462686567,0.134210526316,0.448600260417,861.3125,177.28125,48.390625,48.390625,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,2716,1,/html/body/div[1]/header[1]/div[4]/ul/a[1]/svg,,0
51,50,title,0,1,37,0.110447761194,0.136842105263,0.0,0,0,0,0,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,22,1,/html/body/div[1]/header[1]/div[4]/ul/a[1]/svg/title,,0
52,50,g,1,1,38,0.113432835821,0.139473684211,0.448600260417,861.3125,177.28125,48.390625,48.390625,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,2460,1,/html/body/div[1]/header[1]/div[4]/ul/a[1]/svg/g,,0
53,52,path,0,1,39,0.116417910448,0.142105263158,0.448600260417,861.3125,177.28125,48.390625,48.390625,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,2433,1,/html/body/div[1]/header[1]/div[4]/ul/a[1]/svg/g/path,,0
54,50,image,0,1,41,0.122388059701,0.144736842105,0.448600260417,861.3125,177.28125,0,0,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,123,1,/html/body/div[1]/header[1]/div[4]/ul/a[1]/svg/image,,0
55,48,a,3,1,45,0.134328358209,0.147368421053,0.481905110677,925.2578125,209.28125,74.484375,20,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,4014,1,/html/body/div[1]/header[1]/div[4]/ul/a[2],,0
56,55,svg,2,1,46,0.137313432836,0.15,0.487394205729,935.796875,177.28125,48.390625,48.390625,"rgb(0,155,205)","rgba(0,0,0,0)",0,0,3819,1,/html/body/div[1]/header[1]/div[4]/ul/a[2]/svg,,0
